Bucolarcha geodes  Meyrick
Calliprora sexstrigella  Chambers
Capidentalia salicicola  Park
Capidentalia salicicolella  Kuznetsov
Carpatolechia deugyusdana (Park)
Carpatolechia nephomicta (Meyrick)
Caryocolum alsinella  Zeller
Caryocolum amaurella  Hering
Caryocolum blandella  Douglas
Caryocolum blandelloides  Karsholt
Caryocolum blandulella  Tutt
Caryocolum cassella  Walker
Caryocolum cauligenella  Schmid
Caryocolum fischerella  Treitschke
Caryocolum fraternella  Douglas
Caryocolum huebneri  Haworth
Caryocolum inflativorella  Klimesch
Caryocolum interalbicella  Herrich-SchÃƒÂ¤ffer
Caryocolum junctella  Douglas
Caryocolum klosi  Rebel
Caryocolum kroesmanniella  Herrich-SchÃƒÂ¤ffer
Caryocolum laceratella  Zeller
Caryocolum leucomelanella  Zeller
Caryocolum marmoreum  Haworth
Caryocolum moehringiae  Klimesch
Caryocolum mucronatella  ChrÃƒÂ©tien
Caryocolum oculatella  Thomann
Caryocolum petrophilum  Preissecker
Caryocolum petryi  Hofmann
Caryocolum protecta  Braun
Caryocolum provinciella  Stainton
Caryocolum proximum  Haworth
Caryocolum repentella  ChrÃƒÂ©tien
Caryocolum saginella  Zeller
Caryocolum schleichi  Christoph
Caryocolum tischeriella  Zeller
Caryocolum tricolorella  Haworth
Caryocolum vicinella  Douglas
Caryocolum viscariella  Stainton
Caulastrocecis gypsella  Constant
Cecidophaga tamaricicola  Walsingham
Chionodes abella  Busck
Chionodes acrina  Keifer
Chionodes bicostomaculella  Chambers
Chionodes braunella  Keifer
Chionodes braunella arborei Keifer
Chionodes ceanothiella  Busck
Chionodes chrysopyla  Keifer
Chionodes continuella  Zeller
Chionodes dammersi  Keifer
Chionodes discoocellella  Chambers
Chionodes distinctella  Zeller
Chionodes electella  Zeller
Chionodes fondella  Busck
Chionodes formosella  Murtfeldt
Chionodes fumatella  Douglas
Chionodes fuscomaculella  Chambers
Chionodes gilvomaculella  Clemens
Chionodes hibiscella  Busck
Chionodes lugubrella  Fabricius
Chionodes luteogeminata  Clarke
Chionodes mariona  Heinrich
Chionodes mediofuscella  Clemens
Chionodes negundella  Heinrich
Chionodes occidentella  Chambers
Chionodes ochreostrigella  Chambers
Chionodes pereyra  Clarke
Chionodes periculella  Busck
Chionodes petalumensis  Clarke
Chionodes psiloptera  Barnes & Busck
Chionodes raspyon  Hodges MS
Chionodes retiniella  Barnes & Busck
Chionodes sabinianae  Powell
Chionodes sistrella  Busck
Chionodes sp.  
Chionodes sp. 1  
Chionodes sp. 35  
Chionodes sp. 36  
Chionodes sp. A
Chionodes sp. B
Chionodes sp. B  
Chionodes terminimaculella  Kearfott
Chionodes thoraceochrella  Chambers
Chionodes tragicella  Heyden
Chionodes trichostola  Meyrick
Chionodes trophella  Busck
Chionodes vanduzeei  Keifer
Chionodes viduella  Fabricius
Chorivalva grandialata Omelko
Chorivalva unisaccula Omelko
Chrysoesthia boseae  Walsingham
Chrysoesthia drurella  Fabricius
Chrysoesthia eppelsheimi  Staudinger
Chrysoesthia gaditella  Staudinger
Chrysoesthia halymella  Amsel
Chrysoesthia lingulacella  Clemens
Chrysoesthia sexguttella  Thunberg
Chrysoesthia stipella  Hubner
Coconympha iriarcha  Meyrick
Coleotechnites
Coleotechnites   
Coleotechnites albicostata  Freeman
Coleotechnites alnifructella  Busck
Coleotechnites apicitripunctella  Clemens
Coleotechnites ardas  Freeman
Coleotechnites atrupictella  Dietz
Coleotechnites australis  Freeman
Coleotechnites bacchariella  Keifer
Coleotechnites biopes  Freeman
Coleotechnites blastovora  McLeod
Coleotechnites canusella  Freeman
Coleotechnites carbonaria  Freeman
Coleotechnites chilcotti  Freeman
Coleotechnites citriella  Chambers
Coleotechnites colubrinae  Busck
Coleotechnites condignella  Busck
Coleotechnites coniferella  Kearfott
Coleotechnites ducharmei  Freeman
Coleotechnites edulicola  Hodges & Stevens
Coleotechnites eryngiella  Bottimer
Coleotechnites florae  Freeman
Coleotechnites gallicola  Busck
Coleotechnites gibsonella  Kearfott
Coleotechnites granti  Freeman
Coleotechnites huntella  Keifer
Coleotechnites juniperella  Kearfott
Coleotechnites laricis  Freeman
Coleotechnites lewisi  Freeman
Coleotechnites mackiei  Keifer
Coleotechnites macleodi  Freeman
Coleotechnites martini  Freeman
Coleotechnites milleri  Busck
